Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Large Profit,25%,77 - 81,72 - 79,68 - 76,63 - 73,59 - 71,54 - 68,50 - 65,81 - 126,126 - 180,180 - 541,126 - 180,81 - 126
Large Profit,25%,77 - 81,72 - 79,68 - 76,63 - 73,59 - 71,54 - 68,81 - 126,126 - 180,180 - 541,126 - 180,81 - 126,36 - 81
Large Profit,25%,77 - 81,72 - 79,68 - 76,63 - 73,59 - 71,81 - 126,126 - 180,180 - 541,126 - 180,81 - 126,36 - 81,36 - 81
Large Profit,25%,77 - 81,72 - 79,68 - 76,63 - 73,81 - 126,126 - 180,180 - 541,126 - 180,81 - 126,36 - 81,36 - 81,36 - 81
Decreasing,15%,77 - 81,72 - 79,68 - 76,63 - 73,59 - 71,54 - 68,50 - 65,45 - 63,41 - 60,36 - 57,32 - 55,27 - 52
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76
Small Profit,15%,36 - 81,32 - 79,27 - 76,23 - 73,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76
