Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Large Profit,,84 - 89,79 - 86,74 - 83,69 - 80,64 - 77,59 - 74,54 - 71,89 - 138,138 - 196,196 - 589,138 - 196,89 - 138
Large Profit,,84 - 89,79 - 86,74 - 83,69 - 80,64 - 77,59 - 74,89 - 138,138 - 196,196 - 589,138 - 196,89 - 138,40 - 89
Large Profit,,84 - 89,79 - 86,74 - 83,69 - 80,64 - 77,89 - 138,138 - 196,196 - 589,138 - 196,89 - 138,40 - 89,40 - 89
Large Profit,,84 - 89,79 - 86,74 - 83,69 - 80,89 - 138,138 - 196,196 - 589,138 - 196,89 - 138,40 - 89,40 - 89,40 - 89
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 81,65 - 78,60 - 75,55 - 72,90 - 139,139 - 198,198 - 595,139 - 198,90 - 139
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 81,65 - 78,60 - 75,90 - 139,139 - 198,198 - 595,139 - 198,90 - 139,40 - 90
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 81,65 - 78,90 - 139,139 - 198,198 - 595,139 - 198,90 - 139,40 - 90,40 - 90
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 81,90 - 139,139 - 198,198 - 595,139 - 198,90 - 139,40 - 90,40 - 90,40 - 90
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 82,65 - 79,60 - 76,55 - 73,90 - 140,140 - 200,200 - 601,140 - 200,90 - 140
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 82,65 - 79,60 - 76,90 - 140,140 - 200,200 - 601,140 - 200,90 - 140,40 - 90
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 82,65 - 79,90 - 140,140 - 200,200 - 601,140 - 200,90 - 140,40 - 90,40 - 90
Large Profit,,85 - 90,80 - 87,75 - 84,70 - 82,90 - 140,140 - 200,200 - 601,140 - 200,90 - 140,40 - 90,40 - 90,40 - 90
Large Profit,,86 - 91,81 - 88,76 - 85,71 - 82,66 - 79,61 - 76,56 - 73,91 - 142,142 - 202,202 - 607,142 - 202,91 - 142
Large Profit,,86 - 91,81 - 88,76 - 85,71 - 82,66 - 79,61 - 76,91 - 142,142 - 202,202 - 607,142 - 202,91 - 142,41 - 91
Large Profit,,86 - 91,81 - 88,76 - 85,71 - 82,66 - 79,91 - 142,142 - 202,202 - 607,142 - 202,91 - 142,41 - 91,41 - 91
Large Profit,,86 - 91,81 - 88,76 - 85,71 - 82,91 - 142,142 - 202,202 - 607,142 - 202,91 - 142,41 - 91,41 - 91,41 - 91
Large Profit,,87 - 92,82 - 89,77 - 86,72 - 83,67 - 80,62 - 77,57 - 74,92 - 143,143 - 204,204 - 613,143 - 204,92 - 143
Large Profit,,87 - 92,82 - 89,77 - 86,72 - 83,67 - 80,62 - 77,92 - 143,143 - 204,204 - 613,143 - 204,92 - 143,41 - 92
Large Profit,,87 - 92,82 - 89,77 - 86,72 - 83,67 - 80,92 - 143,143 - 204,204 - 613,143 - 204,92 - 143,41 - 92,41 - 92
Large Profit,,87 - 92,82 - 89,77 - 86,72 - 83,92 - 143,143 - 204,204 - 613,143 - 204,92 - 143,41 - 92,41 - 92,41 - 92
