Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,90 - 139
Random,25%,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76
Random,25%,60 - 80,50 - 76,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72,90 - 139
Random,25%,60 - 80,50 - 76,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,90 - 139,60 - 80,50 - 76,40 - 72
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76
Small Profit,25%,36 - 81,32 - 79,27 - 76,23 - 73,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76
Small Profit,25%,36 - 81,32 - 79,27 - 76,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76,23 - 73
Small Profit,25%,36 - 81,32 - 79,27 - 76,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76,23 - 73
Small Profit,25%,36 - 81,32 - 79,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71
Small Profit,25%,36 - 81,32 - 79,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80,28 - 77
Small Profit,25%,37 - 82,32 - 80,28 - 77,23 - 74,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80,28 - 77
Small Profit,25%,37 - 82,32 - 80,28 - 77,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80,28 - 77,23 - 74
Small Profit,25%,37 - 82,32 - 80,28 - 77,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80,28 - 77,23 - 74
Small Profit,25%,37 - 82,32 - 80,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71
Small Profit,25%,37 - 82,32 - 80,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183
Small Profit,25%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83
