Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126
Random,20%,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,54 - 72,45 - 69,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,81 - 126,54 - 72,45 - 69
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,36 - 65,81 - 126,54 - 72,45 - 69
Random,20%,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,81 - 126,54 - 72,45 - 69,81 - 126,54 - 72,45 - 69,36 - 65
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128
Random,20%,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,55 - 73,46 - 70,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,82 - 128,55 - 73,46 - 70
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,37 - 66,82 - 128,55 - 73,46 - 70
Random,20%,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,82 - 128,55 - 73,46 - 70,82 - 128,55 - 73,46 - 70,37 - 66
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129
Random,20%,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,56 - 74,46 - 70,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,83 - 129,56 - 74,46 - 70
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,37 - 67,83 - 129,56 - 74,46 - 70
Random,20%,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,83 - 129,56 - 74,46 - 70,83 - 129,56 - 74,46 - 70,37 - 67
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131
Random,20%,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131,84 - 131
Random,20%,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,84 - 131,84 - 131,84 - 131,56 - 75,47 - 71,38 - 67,84 - 131
